neutral_take,style_take,dice,fpfn_ratio,log_ratio,s1,s2,tp,fp,fn
4,Scared41,0.6662422894850093,0.39590520473976304,-0.9265804783543891,63823,47713,37155,10558,26668
0,Scared42,0.672904758176076,2.11470113085622,0.7489134932253039,33828,42798,25781,17017,8047
1,Scared42,0.8161374510656807,0.45307665864558266,-0.7916939434327491,49162,42798,37526,5272,11636
2,Scared42,0.7833596079888341,0.21316914080071975,-1.5456693401276977,56791,42798,39007,3791,17784
3,Scared42,0.7842144096356711,0.1910842047330765,-1.6550410856099762,57496,42798,39326,3472,18170
4,Scared42,0.7285056414777576,0.15852877611462418,-1.841819149369858,63823,42798,38837,3961,24986
0,Scared43,0.6701137782384397,4.2049804868983465,1.4362696529619081,33828,51074,28447,22627,5381
1,Scared43,0.7956023783870066,1.205857019810508,0.1871905339054584,49162,51074,39874,11200,9288
2,Scared43,0.7783432994947388,0.6140552217646662,-0.48767041715168014,56791,51074,41978,9096,14813
3,Scared43,0.7845629547757207,0.5691667784784651,-0.563581779757066,57496,51074,42590,8484,14906
4,Scared43,0.72576307475391,0.4238781689186136,-0.8583092024955957,63823,51074,41694,9380,22129
0,Distracted44,0.733713043155957,4.212333736396614,1.438016825794893,33828,47111,29693,17418,4135
1,Distracted44,0.8670551452639889,0.7237710437710437,-0.32328017449546387,49162,47111,41737,5374,7425
2,Distracted44,0.8173856133664414,0.32435262092552525,-1.1259240188083939,56791,47111,42464,4647,14327
3,Distracted44,0.8112267821465102,0.31069958847736623,-1.1689287870855696,57496,47111,42430,4681,15066
4,Distracted44,0.7548812807615339,0.23870262390670555,-1.432536753210524,63823,47111,41871,5240,21952
0,Distracted45,0.7547933326910107,7.170144462279294,1.9699258025646655,33828,49204,31336,17868,2492
1,Distracted45,0.8908159323343432,1.0078519349411106,0.007821268920418727,49162,49204,43813,5391,5349
2,Distracted45,0.8520401905750271,0.3479157713794585,-1.0557948647690907,56791,49204,45156,4048,11635
3,Distracted45,0.8465042174320525,0.32776651803810297,-1.115453759322686,57496,49204,45161,4043,12335
4,Distracted45,0.7939695824891397,0.228670922809054,-1.4754713272299957,63823,49204,44870,4334,18953
0,Distracted46,0.6813599667321508,1.206653426017875,0.18785076419600386,33828,35909,23758,12151,10070
1,Distracted46,0.8050922170892548,0.11155057987531004,-2.1932771597727765,49162,35909,34245,1664,14917
2,Distracted46,0.7405609492988133,0.0705065432208671,-2.6520497618271435,56791,35909,34325,1584,22466
3,Distracted46,0.7255500240886462,0.08572275634238279,-2.4566369537096073,57496,35909,33885,2024,23611
4,Distracted46,0.6848754662495488,0.05921606956287284,-2.826562328607994,63823,35909,34152,1757,29671
0,Sarcastic47,0.7687891111922539,4.566232191573204,1.5186883991084068,33828,45593,30529,15064,3299
1,Sarcastic47,0.8895572792992454,0.49137808180133963,-0.710541423468705,49162,45593,42145,3448,7017
2,Sarcastic47,0.8312822315986873,0.2134026411913459,-1.544574563474365,56791,45593,42555,3038,14236
3,Sarcastic47,0.8115511839284502,0.24015320778806257,-1.4264781935253164,57496,45593,41831,3762,15665
4,Sarcastic47,0.7725195583826863,0.15445269016697588,-1.867867442048444,63823,45593,42263,3330,21560
0,Sarcastic48,0.7546020331370277,8.158716005349978,2.0990868043093043,33828,49885,31585,18300,2243
1,Sarcastic48,0.8748170060678264,1.1238437821171634,0.11675475793081747,49162,49885,43324,6561,5838
2,Sarcastic48,0.8488319772019949,0.4003126085446336,-0.9155095157413722,56791,49885,45275,4610,11516
3,Sarcastic48,0.836274573714158,0.3957605589075897,-0.9269458998249765,57496,49885,44900,4985,12596
4,Sarcastic48,0.7993808702993633,0.24146938775510204,-1.4210125727021279,63823,49885,45448,4437,18375
0,Sarcastic49,0.7595988368642811,10.080415754923413,2.3105945073207654,33828,50427,32000,18427,1828
1,Sarcastic49,0.8981514022633021,1.2849740932642486,0.25073855726009653,49162,50427,44723,5704,4439
2,Sarcastic49,0.8527299520602883,0.4254762119707502,-0.854546238593202,56791,50427,45714,4713,11077
3,Sarcastic49,0.8404325306005207,0.41794977356937013,-0.8723940126019946,57496,50427,45351,5076,12145
4,Sarcastic49,0.8001575492341356,0.26046152147510215,-1.3453001389672734,63823,50427,45709,4718,18114
0,Threatening50,0.659379641512971,1.15421796625627,0.14342302915544652,33828,35519,22863,12656,10965
1,Threatening50,0.7931413185956708,0.12432605905006419,-2.084847656017743,49162,35519,33582,1937,15580
2,Threatening50,0.7366915827104322,0.06656720347536092,-2.709543263034239,56791,35519,34002,1517,22789
3,Threatening50,0.7232381873891308,0.078918692372171,-2.5393371669947546,57496,35519,33636,1883,23860
4,Threatening50,0.6789877393247569,0.05957404392464365,-2.820535304390585,63823,35519,33726,1793,30097
0,Threatening51,0.6999988293550917,5.52086513994911,1.708534576260065,33828,51595,29898,21697,3930
1,Threatening51,0.8489137231160118,1.380453479280688,0.3224120533636839,49162,51595,42767,8828,6395
2,Threatening51,0.8661819792224088,0.47248730964467006,-0.7497443903038975,56791,51595,46941,4654,9850
3,Threatening51,0.8454226288144759,0.48154981549815495,-0.7307455941169528,57496,51595,46114,5481,11382
4,Threatening51,0.84972881179712,0.17300148789395375,-1.7544550839782573,63823,51595,49037,2558,14786
0,Threatening52,0.7429201567302504,9.126617375231053,2.2111951303628956,33828,51414,31664,19750,2164
1,Threatening52,0.8858375755647471,1.4879739978331528,0.3974154616837239,49162,51414,44547,6867,4615
2,Threatening52,0.8775380065616192,0.42269701524586645,-0.861099632598585,56791,51414,47477,3937,9314
